X,Y,clusters_2,clusters_3,clusters_4,clusters_5,clusters_6
-122.48503873,37.7612911364,1,2,3,3,4
-122.466204668,37.7725405392,1,2,3,3,4
-122.403404791,37.7754207067,0,1,0,4,0
-122.409660752,37.7864394525,0,1,0,4,0
-122.417955822,37.7578801214,1,0,1,0,1
-122.410699658,37.7869881885,0,1,0,4,0
-122.410699658,37.7869881885,0,1,0,4,0
-122.410699658,37.7869881885,0,1,0,4,0
-122.417817853,37.7578884408,1,0,1,0,1
-122.388379874,37.7833104067,0,1,0,4,0
-122.388379874,37.7833104067,0,1,0,4,0
-122.388379874,37.7833104067,0,1,0,4,0
-122.388379874,37.7833104067,0,1,0,4,0
-122.388379874,37.7833104067,0,1,0,4,0
-122.388379874,37.7833104067,0,1,0,4,0
-122.403404791,37.7754207067,0,1,0,4,0
-122.403404791,37.7754207067,0,1,0,4,0
-122.388379874,37.7833104067,0,1,0,4,0
-122.388379874,37.7833104067,0,1,0,4,0
-122.388379874,37.7833104067,0,1,0,4,0
-122.388379874,37.7833104067,0,1,0,4,0
-122.405941469,37.790463178,0,1,0,4,0
-122.407114491,37.7899019823,0,1,0,4,0
-122.411747372,37.7859988324,0,1,0,1,3
-122.426508142,37.7859342572,0,1,0,1,3
-122.470190416,37.7808757917,0,2,3,3,4
-122.417997608,37.7769551138,0,1,0,1,3
-122.478349616,37.7513339692,1,2,3,3,4
-122.415781282,37.7588312135,1,0,1,0,1
-122.417964484,37.7586968166,1,0,1,0,1
-122.458860616,37.7812550935,0,1,3,3,4
-122.400916029,37.7854574903,0,1,0,4,0
-122.400916029,37.7854574903,0,1,0,4,0
-122.400916029,37.7854574903,0,1,0,4,0
-122.400916029,37.7854574903,0,1,0,4,0
-122.400916029,37.7854574903,0,1,0,4,0
-122.400916029,37.7854574903,0,1,0,4,0
-122.400916029,37.7854574903,0,1,0,4,0
-122.400916029,37.7854574903,0,1,0,4,0
-122.400916029,37.7854574903,0,1,0,4,0
-122.400916029,37.7854574903,0,1,0,4,0
-122.400916029,37.7854574903,0,1,0,4,0
-122.400916029,37.7854574903,0,1,0,4,0
-122.400916029,37.7854574903,0,1,0,4,0
-122.400916029,37.7854574903,0,1,0,4,0
-122.400916029,37.7854574903,0,1,0,4,0
-122.400916029,37.7854574903,0,1,0,4,0
-122.400916029,37.7854574903,0,1,0,4,0
-122.400916029,37.7854574903,0,1,0,4,0
-122.400916029,37.7854574903,0,1,0,4,0
-122.400916029,37.7854574903,0,1,0,4,0
-122.400916029,37.7854574903,0,1,0,4,0
-122.400916029,37.7854574903,0,1,0,4,0
-122.400916029,37.7854574903,0,1,0,4,0
-122.400916029,37.7854574903,0,1,0,4,0
-122.400916029,37.7854574903,0,1,0,4,0
-122.47548463,37.7383655655,1,2,2,2,2
-122.408231026,37.787359495,0,1,0,4,0
-122.418467748,37.787965257,0,1,0,1,3
-122.418467748,37.787965257,0,1,0,1,3
-122.417812559,37.7571005796,1,0,1,0,1
-122.417812559,37.7571005796,1,0,1,0,1
-122.41592985,37.7604330004,1,0,1,0,1
-122.41592985,37.7604330004,1,0,1,0,1
-122.418467748,37.787965257,0,1,0,1,3
-122.418467748,37.787965257,0,1,0,1,3
-122.41592985,37.7604330004,1,0,1,0,1
-122.414693065,37.7588955948,1,0,1,0,1
-122.418467748,37.787965257,0,1,0,1,3
-122.41592985,37.7604330004,1,0,1,0,1
-122.418467748,37.787965257,0,1,0,1,3
-122.418467748,37.787965257,0,1,0,1,3
-122.41592985,37.7604330004,1,0,1,0,1
-122.41592985,37.7604330004,1,0,1,0,1
-122.418467748,37.787965257,0,1,0,1,3
-122.418467748,37.787965257,0,1,0,1,3
-122.418467748,37.787965257,0,1,0,1,3
-122.418467748,37.787965257,0,1,0,1,3
-122.418467748,37.787965257,0,1,0,1,3
-122.418467748,37.787965257,0,1,0,1,3
-122.419360353,37.7618358012,1,0,1,0,1
-122.419360353,37.7618358012,1,0,1,0,1
-122.418486297,37.7634954373,1,0,1,0,1
-122.41592985,37.7604330004,1,0,1,0,1
-122.41592985,37.7604330004,1,0,1,0,1
-122.41592985,37.7604330004,1,0,1,0,1
-122.41592985,37.7604330004,1,0,1,0,1
-122.41592985,37.7604330004,1,0,1,0,1
-122.41592985,37.7604330004,1,0,1,0,1
-122.41592985,37.7604330004,1,0,1,0,1
-122.418467748,37.787965257,0,1,0,1,3
-122.409876623,37.787148808,0,1,0,4,0
-122.418467748,37.787965257,0,1,0,1,3
-122.41592985,37.7604330004,1,0,1,0,1
-122.41592985,37.7604330004,1,0,1,0,1
-122.41592985,37.7604330004,1,0,1,0,1
-122.41592985,37.7604330004,1,0,1,0,1
-122.41592985,37.7604330004,1,0,1,0,1
-122.418368839,37.7874861572,0,1,0,1,3
-122.418467748,37.787965257,0,1,0,1,3
-122.418274172,37.7870372044,0,1,0,1,3
-122.426635077,37.7549624154,1,0,1,0,1
-122.417332583,37.7635718956,1,0,1,0,1
-122.383433949,37.729738145,1,0,1,0,5
-122.417812559,37.7571005796,1,0,1,0,1
-122.412502864,37.7590272974,1,0,1,0,1
